symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
PESI,9.739999771118164,USD,0.29,1,-1,0,-1,0.5896561207880595,-0.06299999999999997,182602000.0,3.07,182602000.0
PET,0.15330000221729279,USD,1.0,0,0,0,-1,1.3166719508281157,0.15,N/A,N/A,
PETS,3.884399890899658,USD,0.76,1,1,0,-1,0.7131888405601493,0.478,76842000.0,0.78,76842000.0
PETZ,0.9599000215530396,USD,1.0,0,0,0,-1,0.6679734815612126,0.15,N/A,N/A,
PFAI,2.6500000953674316,USD,4.17,1,-1,0,-1,1.0820638987288713,1.101,38025000.0,3.81,38025000.0
PFBC,83.98999786376953,USD,0.69,1,0,0,0,0.325494746678773,0.40700000000000003,1032000000.0,1.33,1032000000.0
PFD,11.020000457763672,USD,1.0,0,0,0,1,0.12837834751704433,0.44999999999999996,N/A,N/A,
PFE,23.385000228881836,USD,0.5,-1,0,0,0,0.24145113700956267,-0.05000000000000002,132383999999.99998,1.46,132383999999.99998
PFG,77.22000122070312,USD,1.01,-1,0,0,0,0.2929954353452648,0.10299999999999998,17619000000.0,1.56,17619000000.0
PFGC,88.55500030517578,USD,1.0,0,0,0,0,0.284405932995241,0.3,N/A,N/A,
PFH,17.010000228881836,USD,1.0,0,0,0,1,0.13885910241019245,0.44999999999999996,N/A,N/A,
PFIS,48.29999923706055,USD,1.0,0,0,0,0,0.39046395248894644,0.3,N/A,N/A,
PFL,8.380000114440918,USD,1.0,0,0,0,1,0.123426622074572,0.44999999999999996,N/A,N/A,
PFLT,10.239999771118164,USD,1.0,1,1,0,0,0.20852555032698866,0.7,999124000.0,0.93,999124000.0
PFN,7.335000038146973,USD,1.0,0,0,0,1,0.11759909428990635,0.44999999999999996,N/A,N/A,
PFO,8.993800163269043,USD,1.0,0,0,0,1,0.11799147287852187,0.44999999999999996,N/A,N/A,
PFS,16.600000381469727,USD,0.83,0,1,0,0,0.3582436477543044,0.44899999999999995,2183000000.0,0.81,2183000000.0
PFSI,95.19000244140625,USD,1.54,0,0,0,0,0.30440853391776457,0.46199999999999997,4841000000.0,1.24,4841000000.0
PFX,49.0,USD,0.36,1,1,0,1,0.19944092956101053,0.658,99474000.0,0.61,99474000.0
PFXNZ,23.225000381469727,USD,1.0,0,0,0,1,0.09851931826557066,0.44999999999999996,N/A,N/A,
PG,167.2100067138672,USD,0.43,-1,-1,0,1,0.19275856755279686,-0.12100000000000002,390085000000.0,7.6,390085000000.0
PGC,27.729999542236328,USD,1.0,0,0,0,-1,0.4048217094248474,0.15,N/A,N/A,
PGEN,1.350000023841858,USD,1.82,1,-1,0,-1,0.8621254784213553,0.396,411776000.0,8.45,411776000.0
PGNY,21.9950008392334,USD,1.32,1,-1,0,-1,0.5821085397324974,0.24600000000000008,1884000000.0,4.03,1884000000.0
PGP,8.029999732971191,USD,1.08,1,0,0,1,0.18299448119810074,0.674,93045000.0,1.05,93045000.0
